test,BetacommandBot|MediaWiki default
ru_sib,AfinogenoffBot|Aibot|BotMultichill|Byrialbot|EDUCA33E|Escarbot|JAnDbot|Le Pied-bot|MediaWiki default|PipepBot|Robbot|SieBot|TXiKiBoT
closed_zh_tw,MediaWiki default
tlh,MediaWiki default
commons,3247\|555.bot|ABFbot|AbiBot|AdambroBot|AkoopalBot|Alexbot|Andrebot|ArkyBot|ArthurBot|AsgardBot|BArchBot|BierBot|Bilderbot|BjornNbot|BotCat|BotMultichill|BotMultichillT|BryanBot|Btdbot|ButkoBot|CategorizationBot|Category redirect bot|Category-bot|CommonsDelinkerHelper|CommonsHelper2 Bot|Cropbot|DRBot|D\|DavepapeBot|DcoetzeeBot|DerbethBot|DonabelSDSU.bot|DoriBot|DschwenBot|Dudubot|DumbBOT|DustyBot|Dvortybot|Emijrpbot|EuseBot|EuseBotHelper|Excl-zoo Bot|FPCBot|Filbot|File Upload Bot (AntWeb)|File Upload Bot (Edward)|File Upload Bot (Eloquence)|File Upload Bot (Kaldari)|File Upload Bot (Lcarsdata)|File Upload Bot (Omnedon)|File Upload Bot (Petros63)|File Upload Bot (Vonvikken)|FlickreviewR|FotothekBot|GeographBot|GerWsUpload|Giggabot|HermesBot II|HersfoldOTRSBot|InductiveBot|JarektBot|John Bot|John Bot II|KITbot|KanonBot|Korribot|Kwjbot|L PBot|Larbot|Legobot|MBisanzBot|MGA73bot2|Maelgwnbot|MakBot|MarcBot|MediaWiki Update Bot|MediaWiki default|MerlLinkBot|MifterBot|Mike\|Millbot-upload|MinerBot|MiszaBot|Moralists Robot|MultichillAWB|NSBot|NiavBot|Nikbot|NilfaBot|O (bot)|OdderBot|Orgullobot|OrophinBot|PDBbot|Pngbot|Polbot|PortalBot|Ptbotgourou|QICbot|Robbot|RocketBot|Rotatebot|RussBot|SchlurcherBot|SelketBot|Seven-League Bot|ShakataBot|SieBot|SlaungerBot|Slobot|SpadeBot|SunBot|Sz-iwbot|Szczepan.bot|TeakyBot|Topjabot|Tryitbot|Tsca.bot|Un1c0s bot|VICbot|Vertrepbot|WarXboT|Werdnabot|YarluBot|YonaBot|ã‚¿ãƒ�ã‚³ãƒž robot
tokipona,MediaWiki default
oc,Albambot|Alexbot|AlleborgoBot|Almabot|Amirobot|Analphabot|BOTarate|BodhisattvaBot|BotMultichill|ButkoBot|Byrialbot|CarsracBot|Cedricbot|Chobot|Darkicebot|DirlBot|Egmontbot|Escarbot|Estirabot|FiriBot|GetoBot|GhalyBot|GnawnBot|HerculeBot|Idioma-bot|JAnDbot|Le Pied-bot|Luckas-bot|MSBOT|MediaWiki default|MelancholieBot|Muro Bot|NobelBot|PipepBot|Ptbotgourou|Purbo T|RibotBOT|Robbot|SieBot|SpBot|StigBot|Synthebot|TXiKiBoT|Thijs!bot|TuvicBot|VolkovBot|WikiDreamer Bot|Xqbot|YurikBot|Zwobot|Zxabot|Zyxwvut-Bot|ã‚¿ãƒ�ã‚³ãƒž robot
nds,Albambot|AlleborgoBot|Almabot|ArtikelBot|BodhisattvaBot|BotMultichill|ButkoBot|Byrialbot|CarsracBot|Darkicebot|EmausBot|Erwin85Bot|Escarbot|FiriBot|FlaBot|Hashar|HeikoBot|Idioma-bot|JAnDbot|KamikazeBot|Le Pied-bot|LinkFA-Bot|Loveless|Luckas-bot|MastiBot|MediaWiki default|MelancholieBot|Muro Bot|NobelBot|OKBot|PipepBot|PixelBot|Plattbot|PolarBot|Ptbotgourou|Purbo T|Qualia|Robbot|RoboServien|RobotJcb|SieBot|SilvonenBot|Slobot|Soulbot|SpBot|Synthebot|TXiKiBoT|Thijs!bot|TuvicBot|VolkovBot|WikiDreamer Bot|Xqbot|YurikBot|Zwobot|Zxabot|ã‚¿ãƒ�ã‚³ãƒž robot
ti,AlleborgoBot|BotMultichill|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot|YonaBot
diq,AlleborgoBot|BotMultichill|Byrialbot|CarsracBot|Loveless|MediaWiki default|PipepBot|Purbo T|SieBot
tg,Alexbot|AlleborgoBot|BotMultichill|Byrialbot|CommonsDelinker|Escarbot|Fravahar|Idioma-bot|JAnDbot|Le Pied-bot|MediaWiki default|MelancholieBot|PipepBot|Purbo T|Robbot|SieBot|Soulbot|SpBot|StigBot|TXiKiBoT|Thijs!bot|VVVBot|VolkovBot|WikiDreamer Bot
